state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Pulau Pinang,P.051 Balik Pulau,P.051,N.32 Telok Kumbar,N.32,48.4,49,-0.6,-1.22
Negeri Sembilan,P.116 Kuala Pilah,P.116,N.14 Senaling,N.14,110.6,112,-1.4,-1.25
Terengganu,P.037 Marang,P.037,N.19 Ru Rendang,N.19,122.4,124,-1.6,-1.29
Perak,P.065 Beruas,P.065,N.32 Pantai Remis,N.32,232.8,236,-3.2,-1.36
Negeri Sembilan,P.116 Kuala Pilah,P.116,N.13 Juasseh,N.13,203.2,206,-2.8,-1.36
Perak,P.064 Kuala Kangsar,P.064,N.30 Manong,N.30,313.6,318,-4.4,-1.38
Kelantan,P.019 Tumpat,P.019,N.03 Pasir Pekan,N.03,33.5,34,-0.5,-1.47
Terengganu,P.035 Kuala Nerus,P.035,N.10 Teluk Pasu,N.10,65.0,66,-1.0,-1.52
Pahang,P.085 Rompin,P.085,N.36 Bukit Ibam,N.36,1954.0,1985,-31.0,-1.56
Kelantan,P.031 Kuala Krai,P.031,N.38 Guchil,N.38,194.9,198,-3.1,-1.57
Pahang,P.075 Lipis,P.075,N.03 Padang Tengku,N.03,2124.3,2159,-34.7,-1.61
Kedah,P.014 Merbok,P.014,N.25 Gurun,N.25,205.6,209,-3.4,-1.63
Negeri Sembilan,P.117 Seremban,P.117,N.22 Lobak,N.22,5.9,6,-0.1,-1.67
Pulau Pinang,P.043 Bagan,P.043,N.09 Perai,N.09,17.7,18,-0.3,-1.67
Pulau Pinang,P.043 Bagan,P.043,N.08 Bagan Jermal,N.08,5.9,6,-0.1,-1.67
Kelantan,P.023 Rantau Panjang,P.023,N.14 Gual Periok,N.14,157.3,160,-2.7,-1.69
Negeri Sembilan,P.116 Kuala Pilah,P.116,N.16 Pilah,N.16,54.0,55,-1.0,-1.82
Kelantan,P.019 Tumpat,P.019,N.01 Pengkalan Kubor,N.01,45.1,46,-0.9,-1.96
Johor,P.132 Bakri,P.132,N.15 Bukit Naning,N.15,205.8,210,-4.2,-2.0
Kelantan,P.032 Gua Musang,P.032,N.41 Dabong,N.41,1121.8,1145,-23.2,-2.03
Kedah,P.015 Sungai Petani,P.015,N.28 Bakar Arang,N.28,23.5,24,-0.5,-2.08
Kelantan,P.028 Pasir Puteh,P.028,N.31 Gaal,N.31,100.8,103,-2.2,-2.14
Perak,P.073 Telok Intan,P.073,N.49 Pasir Bedamar,N.49,36.2,37,-0.8,-2.16
Pulau Pinang,P.051 Balik Pulau,P.051,N.31 Bayan Lepas,N.31,31.3,32,-0.7,-2.19
Pahang,P.081 Maran,P.081,N.24 Cenur,N.24,528.8,541,-12.2,-2.26
Pahang,P.075 Lipis,P.075,N.01 Cameron Highlands,N.01,310.7,318,-7.3,-2.3
Pahang,P.079 Paya Besar,P.079,N.16 Lepar,N.16,1072.7,1098,-25.3,-2.3
Selangor,P.092 Ampang Jaya,P.092,N.20 Pandan,N.20,12.7,13,-0.3,-2.31
Pulau Pinang,P.046 Nibong Tebal,P.046,N.18 Sungai Acheh,N.18,44.9,46,-1.1,-2.39
Pahang,P.078 Kuantan,P.078,N.14 Indera Mahkota,N.14,88.8,91,-2.2,-2.42
Selangor,P.094 PJ Utara,P.094,N.25 Damansara Utama,N.25,11.7,12,-0.3,-2.5
Johor,P.132 Bakri,P.132,N.16 Maharani,N.16,19.5,20,-0.5,-2.5
Johor,P.133 Muar,P.133,N.18 Sungai Balang,N.18,215.3,221,-5.7,-2.58
Negeri Sembilan,P.117 Seremban,P.117,N.21 Ampangan,N.21,26.3,27,-0.7,-2.59
Kedah,P.017 Padang Serai,P.017,N.34 Lunas,N.34,77.9,80,-2.1,-2.62
Pahang,P.081 Maran,P.081,N.23 Jengka,N.23,289.6,298,-8.4,-2.82
Perak,P.060 Tambun,P.060,N.20 Manjoi,N.20,139.9,144,-4.1,-2.85
Selangor,P.091 Gombak,P.091,N.18 Hulu Kelang,N.18,64.1,66,-1.9,-2.88
Terengganu,P.036 Kuala Terengganu,P.036,N.15 Ladang,N.15,12.6,13,-0.4,-3.08
Melaka,P.124 Jasin,P.124,N.25 Sungai Rambai,N.25,62.0,64,-2.0,-3.12
Pulau Pinang,P.051 Balik Pulau,P.051,N.33 Telok Bahang,N.33,91.9,95,-3.1,-3.26
Melaka,P.123 Kota Melaka,P.123,N.17 Durian Daun,N.17,2.9,3,-0.1,-3.33
Pulau Pinang,P.050 Bayan Baru,P.050,N.30 Batu Uban,N.30,16.3,17,-0.7,-4.12
Terengganu,P.035 Kuala Nerus,P.035,N.12 Bukit Tunggal,N.12,15.3,16,-0.7,-4.37
Perak,P.054 Parit Buntar,P.054,N.07 Kuala Kurau,N.07,61.9,65,-3.1,-4.77
Perak,P.057 Taiping,P.057,N.15 Aulong,N.15,23.8,25,-1.2,-4.8
Melaka,P.123 Kota Melaka,P.123,N.20 Alai,N.20,23.7,25,-1.3,-5.2
Pahang,P.078 Kuantan,P.078,N.13 Teruntum,N.13,41.7,44,-2.3,-5.23
Johor,P.143 Gelang Patah,P.143,N.38 Skudai,N.38,83.1,88,-4.9,-5.57
Kelantan,P.026 Peringat,P.026,N.24 Ketereh,N.24,55.5,59,-3.5,-5.93
Kedah,P.010 Kuala Kedah,P.010,N.17 Pengkalan Kundor,N.17,89.1,95,-5.9,-6.21
Johor,P.141 Johor Bahru,P.141,N.34 Stulang,N.34,15.0,16,-1.0,-6.25
